,전철역명,호선,외부코드
1950,삼송,03호선,318
309,지축,03호선,319
310,구파발,03호선,320
311,연신내,03호선,321
312,불광,03호선,322
313,녹번,03호선,323
314,홍제,03호선,324
315,무악재,03호선,325
316,독립문,03호선,326
317,경복궁,03호선,327
318,안국,03호선,328
319,종로3가,03호선,329
320,을지로3가,03호선,330
1916,소요산,01호선,100
322,동대입구,03호선,332
323,약수,03호선,333
324,금호,03호선,334
325,옥수,03호선,335
326,압구정,03호선,336
327,신사,03호선,337
328,잠원,03호선,338
329,고속터미널,03호선,339
330,교대,03호선,340
331,남부터미널,03호선,341
332,양재,03호선,342
333,매봉,03호선,343
334,도곡,03호선,344
335,대치,03호선,345
336,학여울,03호선,346
337,대청,03호선,347
338,일원,03호선,348
339,수서,03호선,349
340,가락시장,03호선,350
341,경찰병원,03호선,351
342,오금,03호선,352
405,진접,04호선,405
406,오남,04호선,406
408,별내별가람,04호선,408
409,당고개,04호선,409
410,상계,04호선,410
411,노원,04호선,411
412,창동,04호선,412
413,쌍문,04호선,413
414,수유,04호선,414
415,미아,04호선,415
416,미아사거리,04호선,416
417,길음,04호선,417
418,성신여대입구,04호선,418
419,한성대입구,04호선,419
420,혜화,04호선,420
421,동대문,04호선,421
422,동대문역사문화공원,04호선,422
1915,동두천,01호선,101
424,명동,04호선,424
425,회현,04호선,425
426,서울역,04호선,426
427,숙대입구,04호선,427
428,삼각지,04호선,428
429,신용산,04호선,429
430,이촌,04호선,430
431,동작,04호선,431
432,총신대입구,04호선,432
433,사당,04호선,433
434,남태령,04호선,434
1450,선바위,04호선,435
1451,경마공원,04호선,436
1452,대공원,04호선,437
1453,과천,04호선,438
1454,정부과천청사,04호선,439
1455,인덕원,04호선,440
1456,평촌,04호선,441
1457,범계,04호선,442
1458,금정,04호선,443
1751,산본,04호선,444
1763,수리산,04호선,445
1752,대야미,04호선,446
1753,반월,04호선,447
1754,상록수,04호선,448
1755,한대앞,04호선,449
1756,중앙,04호선,450
1757,고잔,04호선,451
1758,초지,04호선,452
1759,안산,04호선,453
1760,신길온천,04호선,454
1761,정왕,04호선,455
1762,오이도,04호선,456
2511,방화,05호선,510
2512,개화산,05호선,511
2513,김포공항,05호선,512
2514,송정,05호선,513
2515,마곡,05호선,514
2516,발산,05호선,515
2517,우장산,05호선,516
2518,화곡,05호선,517
2519,까치산,05호선,518
2520,신정,05호선,519
2521,목동,05호선,520
2522,오목교,05호선,521
2523,양평,05호선,522
2524,영등포구청,05호선,523
2525,영등포시장,05호선,524
2526,신길,05호선,525
2527,여의도,05호선,526
2528,여의나루,05호선,527
2529,마포,05호선,528
2530,공덕,05호선,529
2531,애오개,05호선,530
2532,충정로,05호선,531
2533,서대문,05호선,532
2534,광화문,05호선,533
2535,종로3가,05호선,534
2536,을지로4가,05호선,535
2537,동대문역사문화공원,05호선,536
2538,청구,05호선,537
2539,신금호,05호선,538
2540,행당,05호선,539
2541,왕십리,05호선,540
2542,마장,05호선,541
2543,답십리,05호선,542
2544,장한평,05호선,543
2545,군자,05호선,544
2546,아차산,05호선,545
2547,광나루,05호선,546
2548,천호,05호선,547
2549,강동,05호선,548
2550,길동,05호선,549
2551,굽은다리,05호선,550
2552,명일,05호선,551
2553,고덕,05호선,552
2554,상일동,05호선,553
2562,강일,05호선,554
2563,미사,05호선,555
2564,하남풍산,05호선,556
2565,하남시청,05호선,557
2566,하남검단산,05호선,558
2611,응암,06호선,610
2612,역촌,06호선,611
2613,불광,06호선,612
2614,독바위,06호선,613
2615,연신내,06호선,614
2616,구산,06호선,615
2617,새절,06호선,616
2618,증산,06호선,617
2619,디지털미디어시티,06호선,618
2620,월드컵경기장,06호선,619
2621,마포구청,06호선,620
2622,망원,06호선,621
2623,합정,06호선,622
2624,상수,06호선,623
2625,광흥창,06호선,624
2626,대흥,06호선,625
2627,공덕,06호선,626
2628,효창공원앞,06호선,627
2629,삼각지,06호선,628
2630,녹사평,06호선,629
2631,이태원,06호선,630
2632,한강진,06호선,631
2633,버티고개,06호선,632
2634,약수,06호선,633
2635,청구,06호선,634
2636,신당,06호선,635
2637,동묘앞,06호선,636
2638,창신,06호선,637
2639,보문,06호선,638
2640,안암,06호선,639
2641,고려대,06호선,640
2642,월곡,06호선,641
2643,상월곡,06호선,642
2644,돌곶이,06호선,643
2645,석계,06호선,644
2646,태릉입구,06호선,645
2647,화랑대,06호선,646
2648,봉화산,06호선,647
2649,신내,06호선,648
2711,장암,07호선,709
2712,도봉산,07호선,710
2713,수락산,07호선,711
2714,마들,07호선,712
2715,노원,07호선,713
2716,중계,07호선,714
2717,하계,07호선,715
2718,공릉,07호선,716
2719,태릉입구,07호선,717
2720,먹골,07호선,718
2721,중화,07호선,719
2722,상봉,07호선,720
2723,면목,07호선,721
2724,사가정,07호선,722
2725,용마산,07호선,723
2726,중곡,07호선,724
2727,군자,07호선,725
2728,어린이대공원,07호선,726
2729,건대입구,07호선,727
2730,뚝섬유원지,07호선,728
2731,청담,07호선,729
2732,강남구청,07호선,730
2733,학동,07호선,731
2734,논현,07호선,732
2735,반포,07호선,733
2736,고속터미널,07호선,734
2737,내방,07호선,735
2738,이수,07호선,736
2739,남성,07호선,737
2740,숭실대입구,07호선,738
2741,상도,07호선,739
2742,장승배기,07호선,740
2743,신대방삼거리,07호선,741
2744,보라매,07호선,742
2745,신풍,07호선,743
2746,대림,07호선,744
2747,남구로,07호선,745
2748,가산디지털단지,07호선,746
2749,철산,07호선,747
2750,광명사거리,07호선,748
2751,천왕,07호선,749
2752,온수,07호선,750
3753,까치울,07호선,751
3754,부천종합운동장,07호선,752
3755,춘의,07호선,753
3756,신중동,07호선,754
3757,부천시청,07호선,755
3758,상동,07호선,756
3759,삼산체육관,07호선,757
3760,굴포천,07호선,758
3761,부평구청,07호선,759
3762,산곡,07호선,760
3763,석남,07호선,761
2811,암사,08호선,810
2812,천호,08호선,811
2813,강동구청,08호선,812
2814,몽촌토성,08호선,813
2815,잠실,08호선,814
2816,석촌,08호선,815
2817,송파,08호선,816
2818,가락시장,08호선,817
2819,문정,08호선,818
2820,장지,08호선,819
2821,복정,08호선,820
2828,남위례,08호선,821
2822,산성,08호선,822
2823,남한산성입구,08호선,823
2824,단대오거리,08호선,824
2825,신흥,08호선,825
2826,수진,08호선,826
2827,모란,08호선,827
4101,개화,09호선,901
4102,김포공항,09호선,902
4103,공항시장,09호선,903
4104,신방화,09호선,904
4105,마곡나루,09호선,905
4106,양천향교,09호선,906
4107,가양,09호선,907
4108,증미,09호선,908
4109,등촌,09호선,909
4110,염창,09호선,910
4111,신목동,09호선,911
4112,선유도,09호선,912
4113,당산,09호선,913
4114,국회의사당,09호선,914
4115,여의도,09호선,915
4116,샛강,09호선,916
4117,노량진,09호선,917
4118,노들,09호선,918
4119,흑석,09호선,919
4120,동작,09호선,920
4121,구반포,09호선,921
4122,신반포,09호선,922
4123,고속터미널,09호선,923
4124,사평,09호선,924
4125,신논현,09호선,925
4126,언주,09호선,926
4127,선정릉,09호선,927
4128,삼성중앙,09호선,928
4129,봉은사,09호선,929
4130,종합운동장,09호선,930
4131,삼전,09호선,931
4132,석촌고분,09호선,932
4133,석촌,09호선,933
4134,송파나루,09호선,934
4135,한성백제,09호선,935
4136,올림픽공원,09호선,936
4137,둔촌오륜,09호선,937
4138,중앙보훈병원,09호선,938
244,용답,02호선,211-1
245,신답,02호선,211-2
250,용두,02호선,211-3
246,신설동,02호선,211-4
247,도림천,02호선,234-1
248,양천구청,02호선,234-2
249,신정네거리,02호선,234-3
200,까치산,02호선,234-4
1702,가산디지털단지,01호선,P142
1714,독산,01호선,P143
1703,금천구청,01호선,P144
1750,광명,01호선,P144-1
1704,석수,01호선,P145
1705,관악,01호선,P146
1706,안양,01호선,P147
1707,명학,01호선,P148
1708,금정,01호선,P149
1709,군포,01호선,P150
1729,당정,01호선,P151
1710,의왕,01호선,P152
1711,성균관대,01호선,P153
1712,화서,01호선,P154
1713,수원,01호선,P155
1715,세류,01호선,P156
1716,병점,01호선,P157
1749,서동탄,01호선,P157-1
1717,세마,01호선,P158
1718,오산대,01호선,P159
1719,오산,01호선,P160
1720,진위,01호선,P161
1721,송탄,01호선,P162
1722,서정리,01호선,P163
1723,평택지제,01호선,P164
1724,평택,01호선,P165
1725,성환,01호선,P166
1726,직산,01호선,P167
1727,두정,01호선,P168
1728,천안,01호선,P169
1401,봉명,01호선,P170
1402,쌍용,01호선,P171
1403,아산,01호선,P172
1404,탕정,01호선,P173
1405,배방,01호선,P174
1407,온양온천,01호선,P176
1408,신창,01호선,P177
2555,둔촌동,05호선,P549
2556,올림픽공원,05호선,P550
2557,방이,05호선,P551
2558,오금,05호선,P552
2559,개롱,05호선,P553
2560,거여,05호선,P554
2561,마천,05호선,P555
